,Rainfall
2000-01-31,63.1015625
2000-02-29,49.6015625
2000-03-31,299.5
2000-04-30,68.203125
2000-05-31,55.0
2000-06-30,103.203125
2000-07-31,52.0
2000-08-31,29.203125
2000-09-30,51.6015625
2000-10-31,59.1015625
2000-11-30,280.296875
2000-12-31,60.5
2001-01-31,129.6015625
2001-02-28,237.1015625
2001-03-31,115.3984375
2001-04-30,64.3984375
2001-05-31,103.703125
2001-06-30,31.6015625
2001-07-31,193.8984375
2001-08-31,126.1015625
2001-09-30,30.3984375
2001-10-31,81.8984375
2001-11-30,132.703125
2001-12-31,30.3984375
2002-01-31,99.796875
2002-02-28,400.1015625
2002-03-31,152.1015625
2002-04-30,113.1015625
2002-05-31,52.8984375
2002-06-30,63.1015625
2002-07-31,22.1015625
2002-08-31,14.0
2002-09-30,21.3984375
2002-10-31,14.0
2002-11-30,25.6015625
2002-12-31,80.203125
2003-01-31,64.703125
2003-02-28,187.296875
2003-03-31,140.3984375
2003-04-30,159.703125
2003-05-31,359.0
2003-06-30,72.203125
2003-07-31,38.796875
2003-08-31,41.1015625
2003-09-30,14.8984375
2003-10-31,101.5
2003-11-30,186.203125
2003-12-31,48.796875
2004-01-31,101.3984375
2004-02-29,136.3984375
2004-03-31,99.703125
2004-04-30,142.296875
2004-05-31,16.5
2004-06-30,14.6015625
2004-07-31,77.8984375
2004-08-31,32.8984375
2004-09-30,43.796875
2004-10-31,251.5
2004-11-30,81.5
2004-12-31,103.1015625
2005-01-31,110.296875
2005-02-28,203.3984375
2005-03-31,135.796875
2005-04-30,28.0
2005-05-31,67.6015625
2005-06-30,113.703125
2005-07-31,172.1015625
2005-08-31,9.3984375
2005-09-30,90.1015625
2005-10-31,82.5
2005-11-30,232.796875
2005-12-31,38.5
2006-01-31,127.6015625
2006-02-28,123.5
2006-03-31,55.796875
2006-04-30,14.703125
2006-05-31,66.0
2006-06-30,146.1015625
2006-07-31,145.5
2006-08-31,75.5
2006-09-30,116.296875
2006-10-31,8.1015625
2006-11-30,75.3984375
2006-12-31,90.296875
2007-01-31,39.1015625
2007-02-28,441.3984375
2007-03-31,144.1015625
2007-04-30,103.6015625
2007-05-31,35.296875
2007-06-30,472.703125
2007-07-31,62.6015625
2007-08-31,70.8984375
2007-09-30,49.6015625
2007-10-31,32.3984375
2007-11-30,262.8984375
2007-12-31,102.5
2008-01-31,93.703125
2008-02-29,392.3984375
2008-03-31,58.1015625
2008-04-30,104.796875
2008-05-31,8.8984375
2008-06-30,157.6015625
2008-07-31,82.5
2008-08-31,69.0
2008-09-30,96.296875
2008-10-31,116.796875
2008-11-30,66.296875
2008-12-31,106.796875
2009-01-31,21.796875
2009-02-28,173.203125
2009-03-31,66.6015625
