,Rainfall
2000-01-31,32.1015625
2000-02-29,14.296875
2000-03-31,182.6015625
2000-04-30,89.1015625
2000-05-31,47.5
2000-06-30,18.8984375
2000-07-31,49.3984375
2000-08-31,46.5
2000-09-30,15.1015625
2000-10-31,67.296875
2000-11-30,162.6015625
2000-12-31,57.0
2001-01-31,42.3984375
2001-02-28,60.203125
2001-03-31,95.6015625
2001-04-30,28.3984375
2001-05-31,57.203125
2001-06-30,9.796875
2001-07-31,52.6015625
2001-08-31,22.1015625
2001-09-30,16.296875
2001-10-31,48.203125
2001-11-30,43.8984375
2001-12-31,41.6015625
2002-01-31,16.703125
2002-02-28,100.6015625
2002-03-31,35.203125
2002-04-30,2.703125
2002-05-31,27.296875
2002-06-30,29.5
2002-07-31,3.5
2002-08-31,11.1015625
2002-09-30,33.5
2002-10-31,0.0
2002-11-30,15.1015625
2002-12-31,150.0
2003-01-31,15.6015625
2003-02-28,93.3984375
2003-03-31,11.5
2003-04-30,52.8984375
2003-05-31,21.5
2003-06-30,23.8984375
2003-07-31,25.0
2003-08-31,71.703125
2003-09-30,10.6015625
2003-10-31,76.1015625
2003-11-30,102.296875
2003-12-31,56.296875
2004-01-31,77.796875
2004-02-29,86.703125
2004-03-31,47.203125
2004-04-30,6.3984375
2004-05-31,27.6015625
2004-06-30,11.296875
2004-07-31,45.0
2004-08-31,50.0
2004-09-30,17.8984375
2004-10-31,66.3984375
2004-11-30,36.1015625
2004-12-31,118.796875
2005-01-31,80.796875
2005-02-28,84.296875
2005-03-31,74.6015625
2005-04-30,1.296875
2005-05-31,16.8984375
2005-06-30,76.3984375
2005-07-31,38.8984375
2005-08-31,13.3984375
2005-09-30,52.203125
2005-10-31,67.796875
2005-11-30,92.203125
2005-12-31,26.5
2006-01-31,46.3984375
2006-02-28,39.296875
2006-03-31,6.3984375
2006-04-30,55.1015625
2006-05-31,1.296875
2006-06-30,23.703125
2006-07-31,34.0
2006-08-31,7.5
2006-09-30,43.5
2006-10-31,2.8984375
2006-11-30,61.8984375
2006-12-31,33.5
2007-01-31,43.5
2007-02-28,34.203125
2007-03-31,66.3984375
2007-04-30,23.8984375
2007-05-31,31.296875
2007-06-30,235.6015625
2007-07-31,11.703125
2007-08-31,56.1015625
2007-09-30,4.6015625
2007-10-31,37.0
2007-11-30,150.796875
2007-12-31,124.8984375
2008-01-31,52.296875
2008-02-29,108.703125
2008-03-31,9.1015625
2008-04-30,43.8984375
2008-05-31,11.796875
2008-06-30,100.8984375
2008-07-31,50.5
2008-08-31,42.296875
2008-09-30,66.8984375
2008-10-31,59.1015625
2008-11-30,61.296875
2008-12-31,78.796875
2009-01-31,35.796875
2009-02-28,149.8984375
2009-03-31,19.796875
2009-04-30,56.8984375
2009-05-31,12.0
2009-06-30,39.203125
2009-07-31,28.296875
2009-08-31,3.0
2009-09-30,24.8984375
2009-10-31,48.3984375
2009-11-30,30.703125
2009-12-31,96.0
2010-01-31,111.5
2010-02-28,38.6015625
2010-03-31,85.1015625
2010-04-30,40.8984375
2010-05-31,42.296875
2010-06-30,33.1015625
2010-07-31,68.796875
2010-08-31,24.296875
2010-09-30,28.5
2010-10-31,64.3984375
2010-11-30,98.8984375
2010-12-31,66.3984375
2011-01-31,41.3984375
2011-02-28,30.8984375
2011-03-31,47.5
2011-04-30,29.6015625
2011-05-31,85.6015625
2011-06-30,102.6015625
2011-07-31,8.703125
2011-08-31,44.296875
2011-09-30,63.3984375
2011-10-31,49.1015625
2011-11-30,147.203125
2011-12-31,34.1015625
2012-01-31,58.6015625
2012-02-29,108.203125
2012-03-31,64.203125
2012-04-30,24.5
2012-05-31,16.8984375
2012-06-30,49.5
2012-07-31,62.203125
2012-08-31,6.296875
2012-09-30,20.3984375
2012-10-31,5.5
2012-11-30,58.703125
2012-12-31,39.796875
2013-01-31,168.6015625
2013-02-28,90.203125
2013-03-31,89.8984375
2013-04-30,3.1015625
2013-05-31,18.0
2013-06-30,55.703125
2013-07-31,32.8984375
2013-08-31,1.6015625
2013-09-30,24.203125
2013-10-31,17.0
2013-11-30,183.6015625
2013-12-31,15.8984375
2014-01-31,6.296875
2014-02-28,73.296875
2014-03-31,113.703125
2014-04-30,47.3984375
2014-05-31,11.796875
2014-06-30,29.6015625
2014-07-31,37.1015625
2014-08-31,49.796875
2014-09-30,26.796875
2014-10-31,19.3984375
2014-11-30,22.203125
2014-12-31,111.3984375
2015-01-31,113.3984375
2015-02-28,30.0
2015-03-31,43.8984375
2015-04-30,118.1015625
2015-05-31,60.8984375
2015-06-30,34.703125
2015-07-31,31.0
2015-08-31,53.5
2015-09-30,16.5
2015-10-31,26.1015625
2015-11-30,96.703125
2015-12-31,100.796875
2016-01-31,119.796875
2016-02-29,3.203125
2016-03-31,13.0
2016-04-30,3.296875
2016-05-31,39.203125
2016-06-30,111.8984375
2016-07-31,61.3984375
2016-08-31,56.6015625
2016-09-30,70.796875
2016-10-31,60.0
2016-11-30,45.296875
2016-12-31,67.796875
2017-01-31,43.796875
2017-02-28,10.3984375
2017-03-31,123.296875
2017-04-30,21.296875
2017-05-31,20.703125
2017-06-30,31.0
2017-07-31,3.6015625
2017-08-31,17.5
2017-09-30,7.3984375
2017-10-31,46.6015625
2017-11-30,22.6015625
2017-12-31,45.796875
2018-01-31,9.8984375
2018-02-28,34.296875
2018-03-31,46.5
2018-04-30,7.703125
2018-05-31,10.703125
2018-06-30,23.6015625
2018-07-31,2.296875
2018-08-31,20.703125
2018-09-30,21.0
2018-10-31,38.6015625
2018-11-30,63.296875
2018-12-31,69.5
2019-01-31,36.5
2019-02-28,30.703125
2019-03-31,149.796875
2019-04-30,1.703125
2019-05-31,23.703125
2019-06-30,7.796875
2019-07-31,6.703125
2019-08-31,15.1015625
2019-09-30,24.796875
2019-10-31,19.8984375
2019-11-30,32.0
2019-12-31,2.203125
2020-01-31,75.296875
2020-02-29,152.0
2020-03-31,58.0
2020-04-30,56.1015625
2020-05-31,54.203125
2020-06-30,31.703125
2020-07-31,90.296875
2020-08-31,28.6015625
2020-09-30,29.0
2020-10-31,111.5
2020-11-30,23.203125
2020-12-31,130.3984375
2021-01-31,79.6015625
2021-02-28,92.796875
2021-03-31,149.703125
2021-04-30,15.6015625
2021-05-31,28.6015625
2021-06-30,59.6015625
2021-07-31,32.703125
2021-08-31,22.203125
2021-09-30,49.1015625
2021-10-31,69.296875
