,Rainfall
2000-01-31,41.1015625
2000-02-29,23.796875
2000-03-31,241.0
2000-04-30,98.5
2000-05-31,31.0
2000-06-30,15.5
2000-07-31,22.6015625
2000-08-31,34.203125
2000-09-30,26.5
2000-10-31,46.0
2000-11-30,126.203125
2000-12-31,60.296875
2001-01-31,49.6015625
2001-02-28,176.296875
2001-03-31,150.0
2001-04-30,53.0
2001-05-31,71.0
2001-06-30,6.8984375
2001-07-31,45.0
2001-08-31,25.8984375
2001-09-30,17.8984375
2001-10-31,49.0
2001-11-30,60.296875
2001-12-31,67.5
2002-01-31,32.8984375
2002-02-28,186.5
2002-03-31,111.203125
2002-04-30,14.296875
2002-05-31,52.3984375
2002-06-30,26.3984375
2002-07-31,5.0
2002-08-31,7.0
2002-09-30,20.8984375
2002-10-31,2.5
2002-11-30,26.1015625
2002-12-31,91.8984375
2003-01-31,11.1015625
2003-02-28,96.1015625
2003-03-31,39.6015625
2003-04-30,50.6015625
2003-05-31,49.5
2003-06-30,20.5
2003-07-31,29.3984375
2003-08-31,56.5
2003-09-30,0.8984375
2003-10-31,70.0
2003-11-30,114.203125
2003-12-31,70.296875
2004-01-31,101.5
2004-02-29,138.1015625
2004-03-31,58.6015625
2004-04-30,7.203125
2004-05-31,26.5
2004-06-30,8.203125
2004-07-31,16.203125
2004-08-31,32.8984375
2004-09-30,28.796875
2004-10-31,102.5
2004-11-30,72.296875
2004-12-31,95.8984375
2005-01-31,70.6015625
2005-02-28,128.296875
2005-03-31,89.5
2005-04-30,10.8984375
2005-05-31,32.3984375
2005-06-30,62.296875
2005-07-31,15.6015625
2005-08-31,5.6015625
2005-09-30,45.203125
2005-10-31,86.8984375
2005-11-30,75.296875
2005-12-31,11.796875
2006-01-31,43.6015625
2006-02-28,30.6015625
2006-03-31,41.5
2006-04-30,19.1015625
2006-05-31,4.1015625
2006-06-30,28.703125
2006-07-31,33.703125
2006-08-31,16.1015625
2006-09-30,102.296875
2006-10-31,2.3984375
2006-11-30,54.296875
2006-12-31,45.8984375
2007-01-31,18.703125
2007-02-28,40.796875
2007-03-31,71.703125
2007-04-30,42.1015625
2007-05-31,29.1015625
2007-06-30,292.8984375
2007-07-31,9.796875
2007-08-31,61.796875
2007-09-30,18.6015625
2007-10-31,18.6015625
2007-11-30,154.3984375
2007-12-31,74.1015625
2008-01-31,73.1015625
2008-02-29,130.1015625
2008-03-31,30.5
2008-04-30,107.6015625
2008-05-31,4.0
2008-06-30,74.703125
2008-07-31,25.6015625
2008-08-31,32.1015625
2008-09-30,78.296875
2008-10-31,56.8984375
2008-11-30,67.0
2008-12-31,67.203125
2009-01-31,7.6015625
2009-02-28,188.796875
2009-03-31,53.5
2009-04-30,122.8984375
2009-05-31,47.1015625
2009-06-30,44.5
2009-07-31,24.796875
2009-08-31,1.1015625
2009-09-30,29.5
2009-10-31,52.1015625
2009-11-30,28.6015625
2009-12-31,88.5
2010-01-31,70.1015625
2010-02-28,73.203125
2010-03-31,65.0
2010-04-30,30.203125
2010-05-31,56.203125
2010-06-30,58.1015625
2010-07-31,63.8984375
2010-08-31,24.8984375
2010-09-30,26.6015625
2010-10-31,60.8984375
2010-11-30,126.703125
2010-12-31,74.703125
2011-01-31,48.203125
2011-02-28,31.3984375
2011-03-31,54.296875
2011-04-30,61.703125
2011-05-31,84.6015625
2011-06-30,142.1015625
2011-07-31,24.3984375
2011-08-31,46.8984375
2011-09-30,79.703125
2011-10-31,74.703125
2011-11-30,159.5
2011-12-31,60.5
2012-01-31,47.0
2012-02-29,155.5
2012-03-31,98.703125
2012-04-30,29.5
2012-05-31,15.1015625
2012-06-30,68.3984375
2012-07-31,38.5
2012-08-31,9.5
2012-09-30,13.703125
2012-10-31,7.203125
2012-11-30,36.3984375
2012-12-31,63.1015625
2013-01-31,154.1015625
2013-02-28,157.1015625
2013-03-31,102.5
2013-04-30,31.703125
2013-05-31,33.3984375
2013-06-30,56.203125
2013-07-31,15.1015625
2013-08-31,6.6015625
2013-09-30,24.5
2013-10-31,28.0
2013-11-30,175.0
2013-12-31,13.5
2014-01-31,10.3984375
2014-02-28,68.296875
2014-03-31,141.796875
2014-04-30,72.203125
2014-05-31,13.8984375
2014-06-30,24.1015625
2014-07-31,25.703125
2014-08-31,61.203125
2014-09-30,25.796875
2014-10-31,33.3984375
2014-11-30,17.0
2014-12-31,168.0
2015-01-31,170.203125
2015-02-28,22.1015625
2015-03-31,33.1015625
2015-04-30,258.0
2015-05-31,61.1015625
2015-06-30,23.5
2015-07-31,18.6015625
2015-08-31,40.6015625
2015-09-30,21.296875
2015-10-31,20.296875
2015-11-30,94.1015625
2015-12-31,114.8984375
2016-01-31,242.3984375
2016-02-29,14.1015625
2016-03-31,27.203125
2016-04-30,12.296875
2016-05-31,14.296875
2016-06-30,91.703125
2016-07-31,40.5
2016-08-31,37.296875
2016-09-30,72.6015625
2016-10-31,49.5
2016-11-30,56.203125
2016-12-31,74.703125
2017-01-31,34.8984375
2017-02-28,20.703125
2017-03-31,143.8984375
2017-04-30,38.703125
2017-05-31,20.0
2017-06-30,47.0
2017-07-31,1.5
2017-08-31,10.296875
2017-09-30,12.0
2017-10-31,78.203125
2017-11-30,22.8984375
2017-12-31,44.296875
2018-01-31,7.3984375
2018-02-28,65.296875
2018-03-31,103.8984375
2018-04-30,20.1015625
2018-05-31,8.796875
2018-06-30,41.703125
2018-07-31,3.296875
2018-08-31,15.6015625
2018-09-30,26.703125
2018-10-31,81.296875
2018-11-30,56.8984375
2018-12-31,57.1015625
2019-01-31,44.796875
2019-02-28,34.6015625
2019-03-31,124.5
2019-04-30,7.6015625
2019-05-31,17.6015625
2019-06-30,18.3984375
2019-07-31,11.1015625
2019-08-31,24.1015625
2019-09-30,37.3984375
2019-10-31,5.203125
2019-11-30,21.6015625
2019-12-31,2.0
2020-01-31,75.5
2020-02-29,170.296875
2020-03-31,91.6015625
2020-04-30,38.6015625
2020-05-31,33.1015625
2020-06-30,37.203125
2020-07-31,84.5
2020-08-31,33.8984375
2020-09-30,38.203125
2020-10-31,99.703125
2020-11-30,43.8984375
2020-12-31,155.8984375
2021-01-31,99.296875
2021-02-28,98.1015625
2021-03-31,244.3984375
2021-04-30,19.0
2021-05-31,22.203125
2021-06-30,54.203125
2021-07-31,24.296875
2021-08-31,37.296875
2021-09-30,25.6015625
2021-10-31,74.6015625
2021-11-30,230.5
2021-12-31,84.796875
2022-01-31,73.5
2022-02-28,107.6015625
2022-03-31,305.1015625
