,Rainfall
2000-01-31,113.296875
2000-02-29,64.296875
2000-03-31,152.5
2000-04-30,88.6015625
2000-05-31,51.0
2000-06-30,34.5
2000-07-31,38.3984375
2000-08-31,36.6015625
2000-09-30,13.8984375
2000-10-31,84.6015625
2000-11-30,157.6015625
2000-12-31,159.0
2001-01-31,74.703125
2001-02-28,222.8984375
2001-03-31,392.796875
2001-04-30,74.8984375
2001-05-31,142.0
2001-06-30,7.5
2001-07-31,42.296875
2001-08-31,16.203125
2001-09-30,22.296875
2001-10-31,19.0
2001-11-30,90.703125
2001-12-31,40.1015625
2002-01-31,40.703125
2002-02-28,199.1015625
2002-03-31,190.203125
2002-04-30,93.3984375
2002-05-31,41.296875
2002-06-30,34.796875
2002-07-31,0.1015625
2002-08-31,46.1015625
2002-09-30,7.8984375
2002-10-31,49.3984375
2002-11-30,53.8984375
2002-12-31,104.296875
2003-01-31,32.8984375
2003-02-28,216.8984375
2003-03-31,177.1015625
2003-04-30,76.796875
2003-05-31,199.1015625
2003-06-30,62.6015625
2003-07-31,14.5
2003-08-31,7.203125
2003-09-30,0.5
2003-10-31,98.8984375
2003-11-30,86.6015625
2003-12-31,102.0
2004-01-31,111.796875
2004-02-29,118.203125
2004-03-31,212.3984375
2004-04-30,69.203125
2004-05-31,2.796875
2004-06-30,15.0
2004-07-31,43.0
2004-08-31,27.1015625
2004-09-30,39.296875
2004-10-31,231.1015625
2004-11-30,65.5
2004-12-31,67.203125
2005-01-31,243.8984375
2005-02-28,46.5
2005-03-31,40.3984375
2005-04-30,110.796875
2005-05-31,113.6015625
2005-06-30,127.6015625
2005-07-31,39.8984375
2005-08-31,2.703125
2005-09-30,93.1015625
2005-10-31,104.296875
2005-11-30,133.203125
2005-12-31,77.5
2006-01-31,182.5
2006-02-28,109.6015625
2006-03-31,75.1015625
2006-04-30,9.796875
2006-05-31,4.203125
2006-06-30,80.703125
2006-07-31,94.703125
2006-08-31,89.0
2006-09-30,120.5
2006-10-31,38.1015625
2006-11-30,100.203125
2006-12-31,41.0
2007-01-31,48.6015625
2007-02-28,149.796875
2007-03-31,106.5
2007-04-30,47.5
2007-05-31,22.796875
2007-06-30,115.8984375
2007-07-31,20.703125
2007-08-31,208.8984375
2007-09-30,62.203125
2007-10-31,59.0
2007-11-30,193.5
2007-12-31,87.796875
2008-01-31,189.703125
2008-02-29,167.796875
2008-03-31,44.0
2008-04-30,284.1015625
2008-05-31,39.703125
2008-06-30,125.0
2008-07-31,59.5
2008-08-31,8.3984375
2008-09-30,165.203125
2008-10-31,54.203125
2008-11-30,128.796875
2008-12-31,82.3984375
2009-01-31,37.796875
2009-02-28,507.5
2009-03-31,170.6015625
2009-04-30,281.3984375
2009-05-31,181.5
2009-06-30,258.203125
2009-07-31,39.703125
2009-08-31,4.3984375
2009-09-30,11.8984375
2009-10-31,133.796875
2009-11-30,212.6015625
2009-12-31,135.1015625
2010-01-31,26.1015625
2010-02-28,152.203125
