,Rainfall
2000-01-31,27.703125
2000-02-29,18.1015625
2000-03-31,86.8984375
2000-04-30,32.5
2000-05-31,34.6015625
2000-06-30,14.296875
2000-07-31,58.1015625
2000-08-31,55.5
2000-09-30,12.8984375
2000-10-31,109.1015625
2000-11-30,158.6015625
2000-12-31,53.796875
2001-01-31,44.296875
2001-02-28,26.203125
2001-03-31,136.3984375
2001-04-30,21.203125
2001-05-31,19.8984375
2001-06-30,16.5
2001-07-31,57.6015625
2001-08-31,23.8984375
2001-09-30,34.796875
2001-10-31,51.796875
2001-11-30,93.703125
2001-12-31,59.1015625
2002-01-31,38.796875
2002-02-28,105.8984375
2002-03-31,82.6015625
2002-04-30,1.0
2002-05-31,7.3984375
2002-06-30,34.6015625
2002-07-31,9.0
2002-08-31,19.703125
2002-09-30,31.703125
2002-10-31,12.703125
2002-11-30,56.703125
2002-12-31,93.1015625
2003-01-31,13.3984375
2003-02-28,86.203125
2003-03-31,32.796875
2003-04-30,93.1015625
2003-05-31,12.203125
2003-06-30,57.796875
2003-07-31,35.1015625
2003-08-31,63.3984375
2003-09-30,10.5
2003-10-31,71.6015625
2003-11-30,51.0
2003-12-31,62.0
2004-01-31,233.203125
2004-02-29,73.3984375
2004-03-31,22.203125
2004-04-30,23.1015625
2004-05-31,19.203125
2004-06-30,33.1015625
2004-07-31,48.0
2004-08-31,45.1015625
2004-09-30,47.203125
2004-10-31,58.296875
2004-11-30,66.8984375
2004-12-31,135.6015625
2005-01-31,60.796875
2005-02-28,42.0
2005-03-31,15.296875
2005-04-30,0.203125
2005-05-31,5.703125
2005-06-30,132.6015625
2005-07-31,78.1015625
2005-08-31,28.6015625
2005-09-30,75.1015625
2005-10-31,52.296875
2005-11-30,73.5
2005-12-31,51.8984375
2006-01-31,60.296875
2006-02-28,59.203125
2006-03-31,21.3984375
2006-04-30,48.0
2006-05-31,0.203125
2006-06-30,52.3984375
2006-07-31,61.3984375
2006-08-31,5.3984375
2006-09-30,35.296875
2006-10-31,16.6015625
2006-11-30,78.703125
2006-12-31,18.3984375
2007-01-31,37.796875
2007-02-28,96.203125
2007-03-31,90.703125
2007-04-30,27.796875
2007-05-31,35.796875
2007-06-30,77.296875
2007-07-31,11.6015625
2007-08-31,87.203125
2007-09-30,2.1015625
2007-10-31,43.5
2007-11-30,66.796875
2007-12-31,157.0
2008-01-31,61.296875
2008-02-29,149.3984375
2008-03-31,9.3984375
2008-04-30,18.3984375
2008-05-31,7.3984375
2008-06-30,85.703125
2008-07-31,32.796875
2008-08-31,33.6015625
2008-09-30,67.6015625
2008-10-31,64.703125
2008-11-30,201.5
2008-12-31,78.203125
2009-01-31,29.796875
2009-02-28,137.1015625
2009-03-31,15.1015625
2009-04-30,45.6015625
2009-05-31,5.6015625
2009-06-30,52.703125
2009-07-31,37.3984375
2009-08-31,12.296875
2009-09-30,54.203125
2009-10-31,33.3984375
2009-11-30,45.0
2009-12-31,105.203125
2010-01-31,93.5
2010-02-28,74.296875
2010-03-31,34.6015625
2010-04-30,31.1015625
2010-05-31,54.796875
2010-06-30,42.703125
2010-07-31,109.703125
2010-08-31,73.8984375
2010-09-30,46.296875
2010-10-31,64.3984375
2010-11-30,128.6015625
2010-12-31,144.3984375
2011-01-31,53.1015625
2011-02-28,32.203125
2011-03-31,70.6015625
2011-04-30,37.703125
2011-05-31,61.703125
2011-06-30,24.0
2011-07-31,3.703125
2011-08-31,37.796875
2011-09-30,92.3984375
2011-10-31,61.1015625
2011-11-30,172.0
2011-12-31,68.1015625
2012-01-31,107.5
2012-02-29,234.8984375
2012-03-31,29.796875
2012-04-30,32.5
2012-05-31,29.703125
2012-06-30,48.203125
2012-07-31,90.703125
2012-08-31,12.6015625
2012-09-30,22.3984375
2012-10-31,12.703125
2012-11-30,38.1015625
2012-12-31,87.203125
2013-01-31,89.0
2013-02-28,71.203125
2013-03-31,92.296875
2013-04-30,1.796875
2013-05-31,15.796875
2013-06-30,93.5
2013-07-31,25.5
2013-08-31,9.6015625
2013-09-30,25.296875
2013-10-31,21.703125
2013-11-30,106.3984375
2013-12-31,44.1015625
2014-01-31,1.703125
2014-02-28,36.5
2014-03-31,96.1015625
2014-04-30,18.6015625
2014-05-31,25.6015625
