,Rainfall
2000-01-31,131.1015625
2000-02-29,31.6015625
2000-03-31,393.1015625
2000-04-30,60.5
2000-05-31,36.3984375
2000-06-30,32.0
2000-07-31,48.6015625
2000-08-31,30.796875
2000-09-30,6.5
2000-10-31,64.0
2000-11-30,132.296875
2000-12-31,48.796875
2001-01-31,78.796875
2001-02-28,171.703125
2001-03-31,376.203125
2001-04-30,50.296875
2001-05-31,277.203125
2001-06-30,3.796875
2001-07-31,31.0
2001-08-31,19.296875
2001-09-30,31.6015625
2001-10-31,21.203125
2001-11-30,143.3984375
2001-12-31,54.796875
2002-01-31,42.5
2002-02-28,224.1015625
2002-03-31,131.296875
2002-04-30,58.703125
2002-05-31,47.8984375
2002-06-30,64.8984375
2002-07-31,3.203125
2002-08-31,56.1015625
2002-09-30,34.703125
2002-10-31,4.1015625
2002-11-30,42.5
2002-12-31,157.703125
2003-01-31,34.8984375
2003-02-28,175.296875
2003-03-31,104.796875
2003-04-30,110.5
2003-05-31,268.0
2003-06-30,46.6015625
2003-07-31,24.6015625
2003-08-31,22.5
2003-09-30,0.5
2003-10-31,68.6015625
2003-11-30,87.1015625
2003-12-31,77.3984375
2004-01-31,111.8984375
2004-02-29,179.3984375
2004-03-31,184.703125
2004-04-30,29.3984375
2004-05-31,6.8984375
2004-06-30,5.6015625
2004-07-31,57.296875
2004-08-31,44.1015625
2004-09-30,54.0
2004-10-31,354.0
2004-11-30,143.8984375
2004-12-31,74.203125
2005-01-31,131.5
2005-02-28,70.796875
2005-03-31,170.8984375
2005-04-30,35.703125
2005-05-31,153.6015625
2005-06-30,187.3984375
2005-07-31,44.1015625
2005-08-31,2.0
2005-09-30,62.203125
2005-10-31,111.203125
2005-11-30,121.0
2005-12-31,47.3984375
2006-01-31,184.8984375
2006-02-28,67.5
2006-03-31,55.203125
2006-04-30,31.5
2006-05-31,22.203125
2006-06-30,39.8984375
2006-07-31,82.296875
2006-08-31,131.703125
2006-09-30,135.203125
2006-10-31,33.796875
2006-11-30,111.5
2006-12-31,83.6015625
2007-01-31,16.8984375
2007-02-28,148.0
2007-03-31,137.3984375
2007-04-30,66.0
2007-05-31,77.5
2007-06-30,179.3984375
2007-07-31,28.3984375
2007-08-31,154.203125
2007-09-30,67.703125
2007-10-31,46.296875
2007-11-30,206.796875
2007-12-31,177.1015625
2008-01-31,158.796875
2008-02-29,207.703125
2008-03-31,39.703125
2008-04-30,478.5
2008-05-31,32.203125
2008-06-30,100.3984375
2008-07-31,74.1015625
2008-08-31,8.1015625
2008-09-30,120.796875
2008-10-31,76.1015625
2008-11-30,117.0
2008-12-31,81.1015625
2009-01-31,32.203125
2009-02-28,342.0
2009-03-31,68.203125
2009-04-30,192.203125
2009-05-31,149.8984375
2009-06-30,175.1015625
2009-07-31,45.203125
2009-08-31,7.3984375
2009-09-30,15.0
2009-10-31,194.1015625
2009-11-30,130.5
2009-12-31,149.5
2010-01-31,95.6015625
2010-02-28,120.703125
2010-03-31,109.1015625
2010-04-30,36.1015625
2010-05-31,74.203125
2010-06-30,170.5
2010-07-31,56.0
2010-08-31,28.3984375
2010-09-30,22.0
2010-10-31,100.796875
2010-11-30,159.796875
2010-12-31,106.203125
2011-01-31,106.0
2011-02-28,97.296875
2011-03-31,112.703125
2011-04-30,211.5
2011-05-31,66.796875
2011-06-30,418.203125
2011-07-31,91.296875
2011-08-31,104.0
2011-09-30,97.703125
2011-10-31,103.3984375
2011-11-30,175.796875
2011-12-31,93.796875
2012-01-31,182.8984375
2012-02-29,308.0
2012-03-31,77.203125
2012-04-30,118.703125
2012-05-31,18.203125
2012-06-30,123.5
2012-07-31,50.5
2012-08-31,39.8984375
2012-09-30,17.296875
2012-10-31,12.296875
2012-11-30,72.6015625
2012-12-31,72.296875
2013-01-31,240.296875
2013-02-28,237.5
2013-03-31,273.703125
2013-04-30,70.703125
2013-05-31,131.3984375
2013-06-30,143.0
2013-07-31,20.5
2013-08-31,2.8984375
2013-09-30,12.296875
2013-10-31,21.6015625
2013-11-30,178.1015625
2013-12-31,32.5
2014-01-31,12.796875
2014-02-28,70.1015625
2014-03-31,170.796875
2014-04-30,68.5
2014-05-31,27.6015625
2014-06-30,29.5
2014-07-31,12.203125
2014-08-31,123.796875
2014-09-30,48.296875
2014-10-31,38.5
2014-11-30,55.6015625
2014-12-31,130.796875
2015-01-31,110.1015625
2015-02-28,119.203125
2015-03-31,229.0
2015-04-30,80.1015625
2015-05-31,182.203125
2015-06-30,33.8984375
2015-07-31,9.296875
2015-08-31,16.8984375
2015-09-30,74.0
2015-10-31,70.0
2015-11-30,152.0
2015-12-31,145.6015625
2016-01-31,233.3984375
2016-02-29,129.703125
2016-03-31,23.796875
2016-04-30,52.3984375
2016-05-31,8.8984375
2016-06-30,216.5
2016-07-31,24.1015625
2016-08-31,103.5
2016-09-30,40.203125
2016-10-31,61.6015625
2016-11-30,41.8984375
2016-12-31,56.3984375
2017-01-31,79.203125
2017-02-28,127.8984375
2017-03-31,438.1015625
2017-04-30,60.3984375
2017-05-31,18.0
2017-06-30,128.5
2017-07-31,5.8984375
2017-08-31,7.296875
2017-09-30,4.296875
2017-10-31,120.296875
2017-11-30,67.796875
2017-12-31,86.5
2018-01-31,30.796875
2018-02-28,92.796875
2018-03-31,323.703125
2018-04-30,85.5
2018-05-31,15.5
2018-06-30,98.3984375
2018-07-31,21.0
2018-08-31,5.3984375
2018-09-30,40.1015625
2018-10-31,183.6015625
2018-11-30,74.203125
2018-12-31,76.8984375
2019-01-31,34.703125
2019-02-28,60.203125
2019-03-31,88.6015625
2019-04-30,46.203125
2019-05-31,20.703125
2019-06-30,54.1015625
2019-07-31,22.0
2019-08-31,11.0
2019-09-30,24.8984375
2019-10-31,43.1015625
2019-11-30,15.6015625
2019-12-31,33.1015625
2020-01-31,128.8984375
2020-02-29,452.3984375
2020-03-31,216.0
2020-04-30,40.5
2020-05-31,38.796875
2020-06-30,92.6015625
2020-07-31,77.296875
2020-08-31,26.203125
2020-09-30,31.296875
2020-10-31,68.3984375
2020-11-30,34.796875
2020-12-31,375.203125
2021-01-31,223.6015625
2021-02-28,276.0
2021-03-31,751.796875
2021-04-30,104.0
2021-05-31,57.8984375
2021-06-30,105.203125
2021-07-31,20.703125
2021-08-31,13.203125
2021-09-30,38.296875
2021-10-31,109.8984375
2021-11-30,205.3984375
2021-12-31,124.203125
2022-01-31,106.5
2022-02-28,305.0
2022-03-31,553.296875
