,Rainfall
2000-01-31,65.3984375
2000-02-29,26.1015625
2000-03-31,93.203125
2000-04-30,35.5
2000-05-31,43.3984375
2000-06-30,7.703125
2000-07-31,25.796875
2000-08-31,25.5
2000-09-30,11.0
2000-10-31,73.1015625
2000-11-30,110.5
2000-12-31,95.796875
2001-01-31,89.5
2001-02-28,181.5
2001-03-31,154.703125
2001-04-30,40.8984375
2001-05-31,31.203125
2001-06-30,10.3984375
2001-07-31,39.8984375
2001-08-31,36.203125
2001-09-30,28.5
2001-10-31,93.0
2001-11-30,125.1015625
2001-12-31,65.296875
2002-01-31,63.796875
2002-02-28,36.6015625
2002-03-31,123.796875
2002-04-30,12.5
2002-05-31,25.8984375
2002-06-30,20.1015625
2002-07-31,3.3984375
2002-08-31,28.296875
2002-09-30,25.6015625
2002-10-31,46.296875
2002-11-30,34.8984375
2002-12-31,68.203125
2003-01-31,33.296875
2003-02-28,153.6015625
2003-03-31,69.296875
2003-04-30,74.8984375
2003-05-31,26.8984375
2003-06-30,29.0
2003-07-31,35.0
2003-08-31,13.5
2003-09-30,5.203125
2003-10-31,176.3984375
2003-11-30,42.703125
2003-12-31,89.703125
2004-01-31,192.0
2004-02-29,79.296875
2004-03-31,51.1015625
2004-04-30,49.3984375
2004-05-31,21.296875
2004-06-30,10.0
2004-07-31,22.796875
2004-08-31,34.3984375
2004-09-30,49.703125
2004-10-31,98.3984375
2004-11-30,133.703125
2004-12-31,158.5
2005-01-31,98.296875
2005-02-28,59.703125
2005-03-31,42.703125
2005-04-30,9.796875
2005-05-31,26.203125
2005-06-30,99.1015625
2005-07-31,22.203125
2005-08-31,13.8984375
2005-09-30,59.203125
2005-10-31,54.0
2005-11-30,138.796875
2005-12-31,104.0
2006-01-31,124.3984375
2006-02-28,100.703125
2006-03-31,51.5
2006-04-30,59.3984375
2006-05-31,8.203125
2006-06-30,31.5
2006-07-31,67.796875
2006-08-31,57.5
2006-09-30,43.703125
2006-10-31,16.6015625
2006-11-30,164.203125
2006-12-31,27.6015625
2007-01-31,98.296875
2007-02-28,47.203125
2007-03-31,66.796875
2007-04-30,49.703125
2007-05-31,13.5
2007-06-30,83.3984375
2007-07-31,7.1015625
2007-08-31,112.703125
2007-09-30,16.703125
2007-10-31,73.296875
2007-11-30,78.8984375
2007-12-31,143.796875
2008-01-31,160.0
2008-02-29,134.5
2008-03-31,12.3984375
2008-04-30,46.8984375
2008-05-31,38.8984375
2008-06-30,40.8984375
2008-07-31,39.796875
2008-08-31,42.0
2008-09-30,63.6015625
2008-10-31,36.796875
2008-11-30,230.796875
2008-12-31,142.296875
2009-01-31,30.1015625
2009-02-28,62.203125
2009-03-31,63.3984375
2009-04-30,81.3984375
2009-05-31,183.0
2009-06-30,45.1015625
2009-07-31,16.703125
2009-08-31,9.5
2009-09-30,33.8984375
2009-10-31,44.703125
2009-11-30,92.296875
2009-12-31,106.3984375
2010-01-31,89.703125
2010-02-28,65.703125
2010-03-31,110.1015625
2010-04-30,26.1015625
2010-05-31,68.796875
2010-06-30,23.203125
2010-07-31,92.203125
2010-08-31,122.6015625
2010-09-30,109.296875
2010-10-31,80.8984375
2010-11-30,85.5
2010-12-31,169.5
2011-01-31,339.1015625
2011-02-28,20.703125
2011-03-31,125.3984375
2011-04-30,48.5
2011-05-31,56.5
2011-06-30,53.0
2011-07-31,20.296875
2011-08-31,76.8984375
2011-09-30,36.296875
2011-10-31,75.296875
2011-11-30,71.296875
2011-12-31,62.796875
2012-01-31,155.6015625
2012-02-29,153.3984375
2012-03-31,47.1015625
2012-04-30,58.296875
2012-05-31,23.1015625
2012-06-30,40.8984375
2012-07-31,46.296875
2012-08-31,3.3984375
2012-09-30,32.8984375
2012-10-31,53.6015625
2012-11-30,99.8984375
2012-12-31,113.6015625
2013-01-31,224.6015625
2013-02-28,115.6015625
2013-03-31,96.296875
2013-04-30,66.3984375
2013-05-31,30.296875
2013-06-30,92.296875
2013-07-31,33.796875
2013-08-31,9.6015625
2013-09-30,27.796875
2013-10-31,28.796875
2013-11-30,147.796875
2013-12-31,34.5
2014-01-31,57.1015625
2014-02-28,40.6015625
2014-03-31,132.796875
2014-04-30,33.203125
2014-05-31,27.796875
2014-06-30,29.296875
2014-07-31,28.6015625
2014-08-31,53.8984375
2014-09-30,25.0
2014-10-31,24.0
2014-11-30,38.203125
2014-12-31,249.296875
2015-01-31,94.1015625
2015-02-28,63.1015625
2015-03-31,69.5
2015-04-30,87.0
2015-05-31,93.5
2015-06-30,18.1015625
2015-07-31,44.3984375
2015-08-31,37.0
2015-09-30,34.203125
2015-10-31,70.8984375
2015-11-30,82.6015625
2015-12-31,86.6015625
2016-01-31,154.203125
2016-02-29,9.796875
2016-03-31,70.0
2016-04-30,26.0
2016-05-31,40.8984375
2016-06-30,92.703125
2016-07-31,22.703125
2016-08-31,128.6015625
2016-09-30,91.796875
2016-10-31,71.296875
2016-11-30,43.796875
2016-12-31,71.203125
2017-01-31,85.6015625
2017-02-28,60.0
2017-03-31,257.796875
2017-04-30,30.8984375
2017-05-31,29.703125
2017-06-30,39.0
2017-07-31,14.8984375
2017-08-31,7.796875
2017-09-30,8.203125
2017-10-31,99.3984375
2017-11-30,82.5
2017-12-31,136.0
2018-01-31,72.8984375
2018-02-28,80.296875
2018-03-31,48.6015625
2018-04-30,26.203125
2018-05-31,5.203125
2018-06-30,7.1015625
2018-07-31,51.796875
2018-08-31,26.203125
2018-09-30,41.3984375
2018-10-31,95.203125
2018-11-30,61.1015625
2018-12-31,63.8984375
2019-01-31,21.5
2019-02-28,4.8984375
2019-03-31,62.203125
2019-04-30,6.8984375
2019-05-31,11.703125
2019-06-30,32.0
2019-07-31,7.5
2019-08-31,7.3984375
2019-09-30,7.6015625
2019-10-31,35.6015625
