,Rainfall
2000-01-31,64.0
2000-02-29,37.5
2000-03-31,311.1015625
2000-04-30,123.796875
2000-05-31,45.796875
2000-06-30,26.1015625
2000-07-31,35.0
2000-08-31,21.703125
2000-09-30,29.203125
2000-10-31,36.8984375
2000-11-30,90.296875
2000-12-31,50.0
2001-01-31,40.8984375
2001-02-28,166.1015625
2001-03-31,231.1015625
2001-04-30,74.796875
2001-05-31,191.203125
2001-06-30,5.8984375
2001-07-31,64.796875
2001-08-31,26.796875
2001-09-30,25.296875
2001-10-31,27.796875
2001-11-30,100.203125
2001-12-31,58.296875
2002-01-31,26.6015625
2002-02-28,240.0
2002-03-31,121.0
2002-04-30,45.296875
2002-05-31,56.203125
2002-06-30,42.296875
2002-07-31,25.796875
2002-08-31,16.796875
2002-09-30,27.203125
2002-10-31,5.796875
2002-11-30,42.8984375
2002-12-31,137.203125
2003-01-31,8.5
2003-02-28,70.796875
2003-03-31,55.796875
2003-04-30,81.703125
2003-05-31,132.3984375
2003-06-30,22.6015625
2003-07-31,47.703125
2003-08-31,35.796875
2003-09-30,0.0
2003-10-31,62.0
2003-11-30,131.5
2003-12-31,58.8984375
2004-01-31,89.796875
2004-02-29,157.796875
2004-03-31,106.296875
2004-04-30,22.8984375
2004-05-31,27.203125
2004-06-30,7.0
2004-07-31,32.5
2004-08-31,38.796875
2004-09-30,44.6015625
2004-10-31,156.703125
2004-11-30,59.796875
2004-12-31,85.296875
2005-01-31,67.6015625
2005-02-28,153.0
2005-03-31,155.703125
2005-04-30,24.1015625
2005-05-31,111.703125
2005-06-30,81.703125
2005-07-31,18.3984375
2005-08-31,0.8984375
2005-09-30,52.296875
2005-10-31,73.203125
2005-11-30,78.3984375
2005-12-31,18.296875
2006-01-31,36.796875
2006-02-28,80.8984375
2006-03-31,57.3984375
2006-04-30,46.1015625
2006-05-31,9.796875
2006-06-30,43.796875
2006-07-31,61.203125
2006-08-31,44.703125
2006-09-30,174.5
2006-10-31,9.0
2006-11-30,65.5
2006-12-31,56.0
2007-01-31,15.203125
2007-02-28,48.5
2007-03-31,113.703125
2007-04-30,66.5
2007-05-31,40.296875
2007-06-30,413.296875
2007-07-31,26.3984375
2007-08-31,86.6015625
2007-09-30,31.703125
2007-10-31,14.796875
2007-11-30,135.703125
2007-12-31,106.796875
2008-01-31,154.8984375
2008-02-29,176.296875
2008-03-31,42.8984375
2008-04-30,255.296875
2008-05-31,9.703125
2008-06-30,106.1015625
2008-07-31,42.8984375
2008-08-31,21.5
2008-09-30,178.5
2008-10-31,47.0
2008-11-30,69.703125
2008-12-31,75.296875
2009-01-31,17.703125
2009-02-28,275.8984375
2009-03-31,75.296875
2009-04-30,194.703125
2009-05-31,70.0
2009-06-30,65.5
2009-07-31,29.0
2009-08-31,1.703125
2009-09-30,18.296875
2009-10-31,68.5
2009-11-30,52.203125
2009-12-31,58.796875
2010-01-31,57.796875
2010-02-28,64.296875
2010-03-31,84.203125
2010-04-30,29.8984375
2010-05-31,58.5
2010-06-30,113.796875
2010-07-31,61.3984375
2010-08-31,33.203125
2010-09-30,21.6015625
2010-10-31,79.1015625
2010-11-30,114.5
2010-12-31,56.5
2011-01-31,41.296875
2011-02-28,92.5
2011-03-31,42.203125
2011-04-30,130.203125
2011-05-31,101.8984375
2011-06-30,201.8984375
2011-07-31,91.1015625
2011-08-31,66.3984375
2011-09-30,88.5
2011-10-31,82.5
2011-11-30,148.6015625
2011-12-31,86.203125
2012-01-31,51.0
2012-02-29,170.796875
2012-03-31,121.3984375
2012-04-30,69.3984375
2012-05-31,15.203125
2012-06-30,122.3984375
2012-07-31,51.8984375
2012-08-31,18.0
2012-09-30,17.8984375
2012-10-31,11.796875
2012-11-30,39.5
2012-12-31,78.203125
2013-01-31,144.6015625
2013-02-28,179.0
2013-03-31,126.8984375
2013-04-30,70.1015625
2013-05-31,64.0
2013-06-30,74.0
2013-07-31,29.3984375
2013-08-31,5.5
2013-09-30,20.703125
2013-10-31,49.5
2013-11-30,305.1015625
2013-12-31,14.203125
2014-01-31,17.5
2014-02-28,63.296875
2014-03-31,115.703125
2014-04-30,102.0
2014-05-31,22.796875
2014-06-30,35.0
2014-07-31,21.5
2014-08-31,89.796875
2014-09-30,29.203125
2014-10-31,36.3984375
2014-11-30,28.8984375
2014-12-31,153.6015625
2015-01-31,143.703125
2015-02-28,43.796875
2015-03-31,54.703125
2015-04-30,491.796875
2015-05-31,94.296875
2015-06-30,38.1015625
2015-07-31,14.1015625
2015-08-31,39.6015625
2015-09-30,61.703125
2015-10-31,35.6015625
2015-11-30,94.703125
2015-12-31,114.8984375
2016-01-31,412.5
2016-02-29,29.0
2016-03-31,25.0
2016-04-30,34.703125
2016-05-31,9.0
2016-06-30,107.1015625
2016-07-31,46.796875
2016-08-31,60.3984375
2016-09-30,57.5
2016-10-31,48.6015625
2016-11-30,45.8984375
2016-12-31,76.0
2017-01-31,64.203125
2017-02-28,76.3984375
2017-03-31,200.1015625
2017-04-30,70.6015625
2017-05-31,14.796875
2017-06-30,121.0
2017-07-31,3.8984375
2017-08-31,8.796875
2017-09-30,12.0
2017-10-31,95.796875
2017-11-30,37.1015625
2017-12-31,46.6015625
2018-01-31,10.5
2018-02-28,111.6015625
2018-03-31,162.0
2018-04-30,45.6015625
2018-05-31,5.6015625
2018-06-30,128.8984375
2018-07-31,1.8984375
2018-08-31,18.3984375
2018-09-30,42.703125
2018-10-31,130.5
2018-11-30,67.8984375
2018-12-31,78.8984375
2019-01-31,26.6015625
2019-02-28,40.796875
2019-03-31,140.0
2019-04-30,25.1015625
2019-05-31,27.0
2019-06-30,75.203125
2019-07-31,21.203125
2019-08-31,48.1015625
2019-09-30,71.5
2019-10-31,15.703125
2019-11-30,21.8984375
2019-12-31,1.3984375
2020-01-31,72.796875
2020-02-29,225.1015625
2020-03-31,103.1015625
2020-04-30,31.203125
2020-05-31,59.3984375
2020-06-30,57.296875
2020-07-31,120.203125
2020-08-31,26.5
2020-09-30,35.796875
2020-10-31,132.703125
2020-11-30,37.703125
2020-12-31,141.8984375
2021-01-31,124.796875
2021-02-28,134.8984375
2021-03-31,283.796875
2021-04-30,32.703125
2021-05-31,56.796875
2021-06-30,50.6015625
2021-07-31,25.3984375
2021-08-31,48.5
2021-09-30,38.5
2021-10-31,72.8984375
2021-11-30,253.296875
2021-12-31,47.296875
2022-01-31,90.0
2022-02-28,139.3984375
2022-03-31,296.796875
