,Rainfall
2000-01-31,61.6015625
2000-02-29,50.203125
2000-03-31,196.296875
2000-04-30,84.3984375
2000-05-31,31.296875
2000-06-30,99.296875
2000-07-31,41.0
2000-08-31,20.203125
2000-09-30,84.296875
2000-10-31,45.3984375
2000-11-30,176.296875
2000-12-31,60.5
2001-01-31,111.8984375
2001-02-28,186.0
2001-03-31,63.203125
2001-04-30,40.796875
2001-05-31,60.0
2001-06-30,32.5
2001-07-31,162.5
2001-08-31,126.796875
2001-09-30,125.703125
2001-10-31,36.3984375
2001-11-30,101.296875
2001-12-31,71.703125
2002-01-31,136.3984375
2002-02-28,306.3984375
2002-03-31,66.1015625
2002-04-30,118.703125
2002-05-31,149.5
2002-06-30,35.5
2002-07-31,10.6015625
2002-08-31,10.5
2002-09-30,25.296875
2002-10-31,20.296875
2002-11-30,15.703125
2002-12-31,82.1015625
2003-01-31,52.3984375
2003-02-28,119.296875
2003-03-31,141.703125
2003-04-30,149.3984375
2003-05-31,355.5
2003-06-30,30.203125
2003-07-31,49.1015625
2003-08-31,26.0
2003-09-30,19.6015625
2003-10-31,113.1015625
2003-11-30,179.8984375
2003-12-31,34.703125
2004-01-31,103.5
2004-02-29,63.0
2004-03-31,92.1015625
2004-04-30,138.3984375
2004-05-31,107.5
2004-06-30,7.296875
2004-07-31,51.296875
2004-08-31,29.796875
2004-09-30,138.6015625
2004-10-31,223.8984375
2004-11-30,70.296875
2004-12-31,98.3984375
2005-01-31,105.5
2005-02-28,100.3984375
2005-03-31,133.1015625
2005-04-30,44.3984375
2005-05-31,151.296875
2005-06-30,134.296875
2005-07-31,131.6015625
2005-08-31,5.3984375
2005-09-30,70.3984375
2005-10-31,165.1015625
2005-11-30,107.0
2005-12-31,31.703125
2006-01-31,87.8984375
2006-02-28,48.0
2006-03-31,42.296875
2006-04-30,13.296875
2006-05-31,94.203125
2006-06-30,267.1015625
2006-07-31,143.203125
2006-08-31,37.703125
2006-09-30,64.0
2006-10-31,5.8984375
2006-11-30,57.5
2006-12-31,74.296875
2007-01-31,22.296875
2007-02-28,260.1015625
2007-03-31,117.296875
2007-04-30,127.0
2007-05-31,11.703125
2007-06-30,381.796875
2007-07-31,80.6015625
2007-08-31,85.1015625
2007-09-30,40.796875
2007-10-31,21.1015625
2007-11-30,162.6015625
2007-12-31,77.0
2008-01-31,92.796875
2008-02-29,173.296875
2008-03-31,37.296875
2008-04-30,85.0
2008-05-31,11.203125
2008-06-30,77.3984375
2008-07-31,32.3984375
2008-08-31,88.203125
2008-09-30,56.5
2008-10-31,78.703125
2008-11-30,75.8984375
2008-12-31,88.5
2009-01-31,32.3984375
2009-02-28,132.8984375
2009-03-31,27.703125
2009-04-30,110.296875
2009-05-31,57.203125
2009-06-30,64.6015625
2009-07-31,27.3984375
2009-08-31,13.703125
2009-09-30,30.0
2009-10-31,161.5
2009-11-30,36.5
2009-12-31,112.3984375
2010-01-31,50.0
2010-02-28,226.203125
2010-03-31,112.1015625
2010-04-30,29.0
2010-05-31,227.5
2010-06-30,104.296875
2010-07-31,74.203125
2010-08-31,37.296875
2010-09-30,61.8984375
2010-10-31,81.8984375
2010-11-30,216.6015625
2010-12-31,127.1015625
2011-01-31,74.5
2011-02-28,135.796875
2011-03-31,209.703125
2011-04-30,140.796875
2011-05-31,77.0
2011-06-30,87.203125
2011-07-31,153.0
2011-08-31,93.203125
2011-09-30,46.6015625
2011-10-31,101.796875
2011-11-30,129.3984375
2011-12-31,51.5
2012-01-31,33.6015625
2012-02-29,205.6015625
2012-03-31,280.6015625
2012-04-30,77.3984375
2012-05-31,24.203125
2012-06-30,135.6015625
2012-07-31,25.5
2012-08-31,9.1015625
2012-09-30,28.5
2012-10-31,207.296875
2012-11-30,53.703125
2012-12-31,28.6015625
2013-01-31,142.5
2013-02-28,188.5
2013-03-31,64.296875
2013-04-30,311.703125
2013-05-31,112.1015625
2013-06-30,268.3984375
2013-07-31,26.1015625
2013-08-31,24.296875
2013-09-30,110.1015625
2013-10-31,27.5
2013-11-30,148.796875
2013-12-31,63.703125
2014-01-31,35.203125
2014-02-28,69.203125
2014-03-31,257.796875
2014-04-30,102.1015625
2014-05-31,38.0
2014-06-30,141.8984375
2014-07-31,6.0
2014-08-31,262.1015625
2014-09-30,45.203125
2014-10-31,215.1015625
2014-11-30,31.1015625
2014-12-31,186.1015625
2015-01-31,206.703125
2015-02-28,132.8984375
2015-03-31,45.1015625
2015-04-30,216.8984375
2015-05-31,78.8984375
