,Rainfall
2000-01-31,41.5
2000-02-29,46.6015625
2000-03-31,120.296875
2000-04-30,36.296875
2000-05-31,27.6015625
2000-06-30,10.1015625
2000-07-31,57.1015625
2000-08-31,43.796875
2000-09-30,20.703125
2000-10-31,87.1015625
2000-11-30,183.796875
2000-12-31,79.0
2001-01-31,66.203125
2001-02-28,45.0
2001-03-31,146.8984375
2001-04-30,18.5
2001-05-31,38.0
2001-06-30,10.6015625
2001-07-31,64.1015625
2001-08-31,41.3984375
2001-09-30,31.1015625
2001-10-31,54.6015625
2001-11-30,122.1015625
2001-12-31,43.8984375
2002-01-31,84.796875
2002-02-28,73.296875
2002-03-31,90.3984375
2002-04-30,2.796875
2002-05-31,5.5
2002-06-30,39.1015625
2002-07-31,7.0
2002-08-31,36.1015625
2002-09-30,36.296875
2002-10-31,27.203125
2002-11-30,76.703125
2002-12-31,65.3984375
2003-01-31,20.1015625
2003-02-28,140.203125
2003-03-31,57.0
2003-04-30,107.3984375
2003-05-31,16.203125
2003-06-30,39.796875
2003-07-31,34.0
2003-08-31,51.796875
2003-09-30,7.3984375
2003-10-31,86.5
2003-11-30,68.203125
2003-12-31,87.703125
2004-01-31,249.203125
2004-02-29,75.1015625
2004-03-31,54.796875
2004-04-30,27.296875
2004-05-31,23.203125
2004-06-30,30.8984375
2004-07-31,43.703125
2004-08-31,52.1015625
2004-09-30,53.296875
2004-10-31,90.8984375
2004-11-30,68.796875
2004-12-31,116.3984375
2005-01-31,87.0
2005-02-28,66.8984375
2005-03-31,31.1015625
2005-04-30,1.6015625
2005-05-31,17.3984375
2005-06-30,126.203125
2005-07-31,35.703125
2005-08-31,21.1015625
2005-09-30,113.203125
2005-10-31,50.0
2005-11-30,173.703125
2005-12-31,89.8984375
2006-01-31,82.296875
2006-02-28,68.3984375
2006-03-31,62.703125
2006-04-30,28.5
2006-05-31,1.6015625
2006-06-30,52.0
2006-07-31,59.1015625
2006-08-31,10.3984375
2006-09-30,35.5
2006-10-31,35.3984375
2006-11-30,109.6015625
2006-12-31,46.5
2007-01-31,62.296875
2007-02-28,129.1015625
2007-03-31,108.203125
2007-04-30,61.203125
2007-05-31,24.1015625
2007-06-30,63.6015625
2007-07-31,11.6015625
2007-08-31,85.6015625
2007-09-30,4.0
2007-10-31,79.3984375
2007-11-30,114.203125
2007-12-31,135.0
2008-01-31,81.0
2008-02-29,117.6015625
2008-03-31,5.1015625
2008-04-30,34.296875
2008-05-31,20.203125
2008-06-30,64.6015625
2008-07-31,32.1015625
2008-08-31,30.296875
2008-09-30,48.1015625
2008-10-31,59.3984375
2008-11-30,139.6015625
2008-12-31,78.8984375
2009-01-31,42.3984375
2009-02-28,123.6015625
2009-03-31,39.3984375
2009-04-30,48.3984375
2009-05-31,41.703125
2009-06-30,58.8984375
2009-07-31,36.8984375
2009-08-31,22.703125
2009-09-30,35.203125
2009-10-31,48.3984375
2009-11-30,55.296875
2009-12-31,174.703125
2010-01-31,105.0
2010-02-28,33.703125
2010-03-31,32.3984375
2010-04-30,24.8984375
2010-05-31,72.6015625
2010-06-30,43.8984375
2010-07-31,129.3984375
2010-08-31,91.703125
2010-09-30,74.203125
2010-10-31,67.203125
2010-11-30,138.3984375
2010-12-31,132.3984375
2011-01-31,88.1015625
2011-02-28,86.8984375
2011-03-31,90.3984375
2011-04-30,67.8984375
2011-05-31,65.6015625
2011-06-30,51.8984375
2011-07-31,6.6015625
2011-08-31,68.0
2011-09-30,78.5
2011-10-31,80.5
2011-11-30,203.8984375
2011-12-31,89.203125
2012-01-31,60.703125
2012-02-29,143.6015625
2012-03-31,32.3984375
2012-04-30,62.203125
2012-05-31,18.5
2012-06-30,46.703125
2012-07-31,92.1015625
2012-08-31,17.203125
2012-09-30,26.0
2012-10-31,32.5
2012-11-30,44.6015625
2012-12-31,75.5
2013-01-31,116.0
2013-02-28,83.3984375
2013-03-31,42.0
2013-04-30,6.8984375
2013-05-31,10.5
2013-06-30,79.5
2013-07-31,26.3984375
2013-08-31,12.796875
2013-09-30,25.296875
2013-10-31,22.296875
2013-11-30,113.6015625
2013-12-31,35.703125
2014-01-31,10.203125
2014-02-28,71.6015625
2014-03-31,107.703125
2014-04-30,10.6015625
2014-05-31,33.6015625
2014-06-30,39.5
2014-07-31,30.3984375
2014-08-31,60.203125
2014-09-30,22.5
2014-10-31,23.3984375
2014-11-30,25.8984375
2014-12-31,160.0
2015-01-31,110.796875
2015-02-28,44.3984375
2015-03-31,16.796875
2015-04-30,84.8984375
2015-05-31,42.296875
2015-06-30,53.8984375
2015-07-31,47.203125
2015-08-31,57.5
2015-09-30,12.8984375
2015-10-31,19.6015625
2015-11-30,59.796875
2015-12-31,84.703125
2016-01-31,104.0
2016-02-29,8.296875
2016-03-31,35.296875
2016-04-30,37.796875
2016-05-31,47.1015625
2016-06-30,108.0
2016-07-31,35.203125
2016-08-31,116.3984375
2016-09-30,79.8984375
2016-10-31,85.0
2016-11-30,20.296875
2016-12-31,67.8984375
2017-01-31,136.203125
2017-02-28,111.5
2017-03-31,158.296875
2017-04-30,30.0
2017-05-31,42.5
2017-06-30,65.703125
2017-07-31,15.296875
2017-08-31,12.8984375
2017-09-30,5.703125
2017-10-31,62.3984375
2017-11-30,35.3984375
2017-12-31,70.1015625
2018-01-31,45.203125
2018-02-28,61.203125
2018-03-31,24.703125
2018-04-30,22.3984375
2018-05-31,5.703125
2018-06-30,13.203125
2018-07-31,51.703125
2018-08-31,25.3984375
2018-09-30,37.203125
2018-10-31,70.5
2018-11-30,82.6015625
2018-12-31,63.296875
2019-01-31,43.296875
2019-02-28,13.296875
2019-03-31,63.1015625
2019-04-30,1.6015625
2019-05-31,14.203125
2019-06-30,17.296875
2019-07-31,9.796875
2019-08-31,7.3984375
2019-09-30,6.296875
2019-10-31,20.3984375
2019-11-30,24.6015625
2019-12-31,34.8984375
2020-01-31,160.203125
2020-02-29,184.6015625
