,Rainfall
2000-01-31,47.6015625
2000-02-29,37.6015625
2000-03-31,20.296875
2000-04-30,57.8984375
2000-05-31,65.5
2000-06-30,59.6015625
2000-07-31,44.3984375
2000-08-31,101.796875
2000-09-30,46.3984375
2000-10-31,81.203125
2000-11-30,29.3984375
2000-12-31,13.6015625
2001-01-31,26.0
2001-02-28,67.6015625
2001-03-31,36.796875
2001-04-30,29.8984375
2001-05-31,6.6015625
2001-06-30,65.203125
2001-07-31,32.5
2001-08-31,46.5
2001-09-30,42.703125
2001-10-31,60.8984375
2001-11-30,10.5
2001-12-31,3.8984375
2002-01-31,6.0
2002-02-28,167.1015625
2002-03-31,19.0
2002-04-30,34.296875
2002-05-31,22.703125
2002-06-30,54.6015625
2002-07-31,14.3984375
2002-08-31,26.8984375
2002-09-30,31.1015625
2002-10-31,2.6015625
2002-11-30,9.3984375
2002-12-31,9.296875
2003-01-31,4.796875
2003-02-28,69.8984375
2003-03-31,1.6015625
2003-04-30,9.703125
2003-05-31,23.296875
2003-06-30,65.5
2003-07-31,64.703125
2003-08-31,74.6015625
2003-09-30,28.0
2003-10-31,53.3984375
2003-11-30,30.1015625
2003-12-31,44.0
2004-01-31,22.8984375
2004-02-29,4.6015625
2004-03-31,0.203125
2004-04-30,15.296875
2004-05-31,30.3984375
2004-06-30,75.1015625
2004-07-31,38.5
2004-08-31,57.203125
2004-09-30,49.3984375
2004-10-31,21.6015625
2004-11-30,72.8984375
2004-12-31,48.796875
2005-01-31,17.703125
2005-02-28,46.703125
2005-03-31,4.6015625
2005-04-30,15.5
2005-05-31,4.296875
2005-06-30,82.6015625
2005-07-31,50.296875
2005-08-31,59.203125
2005-09-30,79.6015625
2005-10-31,78.0
2005-11-30,38.1015625
2005-12-31,33.8984375
2006-01-31,46.5
2006-02-28,3.703125
2006-03-31,10.5
2006-04-30,18.1015625
2006-05-31,3.1015625
2006-06-30,46.3984375
2006-07-31,46.703125
2006-08-31,7.5
2006-09-30,21.296875
2006-10-31,4.296875
2006-11-30,28.796875
2006-12-31,7.6015625
2007-01-31,24.8984375
2007-02-28,52.0
2007-03-31,28.296875
2007-04-30,46.296875
2007-05-31,45.796875
2007-06-30,23.796875
2007-07-31,38.3984375
2007-08-31,20.0
2007-09-30,6.3984375
2007-10-31,24.203125
2007-11-30,48.6015625
2007-12-31,77.3984375
2008-01-31,66.1015625
2008-02-29,53.0
2008-03-31,17.1015625
2008-04-30,23.8984375
2008-05-31,11.3984375
2008-06-30,37.5
2008-07-31,58.1015625
2008-08-31,23.296875
2008-09-30,28.1015625
2008-10-31,16.1015625
2008-11-30,48.203125
2008-12-31,50.8984375
2009-01-31,28.5
2009-02-28,7.296875
2009-03-31,18.796875
2009-04-30,32.796875
2009-05-31,7.1015625
2009-06-30,64.5
2009-07-31,37.203125
2009-08-31,33.796875
2009-09-30,34.5
2009-10-31,25.5
2009-11-30,28.5
2009-12-31,66.0
2010-01-31,1.703125
2010-02-28,141.0
2010-03-31,132.796875
2010-04-30,40.6015625
2010-05-31,72.703125
2010-06-30,25.296875
2010-07-31,60.703125
2010-08-31,72.0
2010-09-30,61.1015625
2010-10-31,157.6015625
2010-11-30,62.5
2010-12-31,132.796875
2011-01-31,34.5
2011-02-28,179.1015625
2011-03-31,54.703125
2011-04-30,24.703125
2011-05-31,29.296875
2011-06-30,26.1015625
2011-07-31,33.5
2011-08-31,47.703125
2011-09-30,27.8984375
2011-10-31,21.5
2011-11-30,132.0
2011-12-31,64.0
2012-01-31,70.5
2012-02-29,56.3984375
2012-03-31,179.203125
2012-04-30,8.6015625
2012-05-31,44.5
2012-06-30,20.203125
2012-07-31,44.6015625
2012-08-31,36.703125
2012-09-30,8.1015625
2012-10-31,17.3984375
2012-11-30,42.5
2012-12-31,28.203125
2013-01-31,17.203125
2013-02-28,37.703125
2013-03-31,30.5
2013-04-30,7.203125
2013-05-31,48.1015625
2013-06-30,80.3984375
2013-07-31,36.6015625
2013-08-31,41.5
2013-09-30,38.296875
2013-10-31,15.0
2013-11-30,10.3984375
2013-12-31,23.0
2014-01-31,16.296875
2014-02-28,33.3984375
2014-03-31,56.296875
2014-04-30,57.5
2014-05-31,43.5
2014-06-30,72.703125
2014-07-31,23.6015625
2014-08-31,12.1015625
2014-09-30,34.703125
2014-10-31,22.296875
2014-11-30,42.296875
2014-12-31,28.3984375
2015-01-31,93.0
2015-02-28,29.296875
2015-03-31,1.5
2015-04-30,59.6015625
2015-05-31,24.8984375
2015-06-30,72.0
2015-07-31,63.1015625
2015-08-31,93.796875
2015-09-30,21.703125
2015-10-31,15.3984375
2015-11-30,90.703125
2015-12-31,31.3984375
2016-01-31,56.6015625
