,Rainfall
2000-01-31,29.796875
2000-02-29,40.796875
2000-03-31,106.296875
2000-04-30,40.703125
2000-05-31,48.296875
2000-06-30,19.203125
2000-07-31,21.8984375
2000-08-31,8.3984375
2000-09-30,1.0
2000-10-31,72.296875
2000-11-30,191.296875
2000-12-31,4.796875
2001-01-31,47.703125
2001-02-28,15.296875
2001-03-31,38.796875
2001-04-30,23.796875
2001-05-31,9.203125
2001-06-30,26.0
2001-07-31,70.5
2001-08-31,3.8984375
2001-09-30,4.203125
2001-10-31,18.1015625
2001-11-30,65.6015625
2001-12-31,6.6015625
2002-01-31,5.796875
2002-02-28,63.296875
2002-03-31,11.3984375
2002-04-30,9.3984375
2002-05-31,2.203125
2002-06-30,15.0
2002-07-31,0.203125
2002-08-31,28.1015625
2002-09-30,11.3984375
2002-10-31,4.5
2002-11-30,7.8984375
2002-12-31,24.3984375
2003-01-31,18.6015625
2003-02-28,79.203125
2003-03-31,10.296875
2003-04-30,83.3984375
2003-05-31,2.203125
2003-06-30,22.703125
2003-07-31,25.796875
2003-08-31,48.703125
2003-09-30,0.1015625
2003-10-31,26.0
2003-11-30,22.6015625
2003-12-31,37.8984375
2004-01-31,102.296875
2004-02-29,61.1015625
2004-03-31,41.5
2004-04-30,28.296875
2004-05-31,11.203125
2004-06-30,5.296875
2004-07-31,13.796875
2004-08-31,15.0
2004-09-30,7.6015625
2004-10-31,5.296875
2004-11-30,47.703125
2004-12-31,110.703125
2005-01-31,14.3984375
2005-02-28,36.0
2005-03-31,2.0
2005-04-30,0.3984375
2005-05-31,16.296875
2005-06-30,107.3984375
2005-07-31,11.796875
2005-08-31,12.796875
2005-09-30,24.296875
2005-10-31,30.296875
2005-11-30,47.3984375
2005-12-31,31.6015625
2006-01-31,21.703125
2006-02-28,37.1015625
2006-03-31,31.703125
2006-04-30,32.296875
2006-05-31,0.0
2006-06-30,31.6015625
2006-07-31,51.203125
2006-08-31,4.5
2006-09-30,9.5
2006-10-31,1.1015625
2006-11-30,18.796875
2006-12-31,24.203125
2007-01-31,18.703125
2007-02-28,133.296875
2007-03-31,25.5
2007-04-30,30.1015625
2007-05-31,51.203125
2007-06-30,31.796875
2007-07-31,2.5
2007-08-31,13.1015625
2007-09-30,0.6015625
2007-10-31,19.296875
2007-11-30,42.203125
2007-12-31,176.703125
2008-01-31,48.3984375
2008-02-29,107.1015625
2008-03-31,21.296875
2008-04-30,2.296875
2008-05-31,6.8984375
2008-06-30,47.296875
2008-07-31,30.3984375
2008-08-31,12.296875
2008-09-30,40.796875
2008-10-31,59.3984375
2008-11-30,111.0
2008-12-31,62.203125
2009-01-31,26.1015625
2009-02-28,236.6015625
2009-03-31,4.1015625
2009-04-30,31.6015625
2009-05-31,39.3984375
2009-06-30,44.8984375
2009-07-31,10.5
2009-08-31,4.703125
2009-09-30,26.296875
2009-10-31,23.703125
2009-11-30,9.8984375
2009-12-31,148.203125
2010-01-31,68.296875
2010-02-28,90.5
2010-03-31,94.703125
2010-04-30,42.5
2010-05-31,16.6015625
2010-06-30,9.6015625
2010-07-31,88.8984375
2010-08-31,31.0
2010-09-30,37.6015625
2010-10-31,78.296875
2010-11-30,143.1015625
2010-12-31,93.0
2011-01-31,18.0
2011-02-28,11.0
2011-03-31,19.203125
2011-04-30,7.703125
2011-05-31,18.796875
2011-06-30,26.6015625
2011-07-31,13.0
2011-08-31,21.703125
2011-09-30,29.703125
2011-10-31,25.703125
2011-11-30,85.296875
2011-12-31,74.8984375
2012-01-31,146.3984375
2012-02-29,154.703125
2012-03-31,51.796875
2012-04-30,9.3984375
2012-05-31,26.796875
2012-06-30,19.796875
2012-07-31,39.1015625
2012-08-31,5.3984375
2012-09-30,14.703125
2012-10-31,1.296875
2012-11-30,18.296875
2012-12-31,15.1015625
2013-01-31,11.0
2013-02-28,16.8984375
2013-03-31,95.5
2013-04-30,0.1015625
2013-05-31,19.1015625
2013-06-30,12.5
2013-07-31,16.5
2013-08-31,1.3984375
2013-09-30,29.703125
2013-10-31,1.8984375
2013-11-30,30.703125
2013-12-31,6.796875
2014-01-31,7.203125
2014-02-28,27.0
2014-03-31,34.0
2014-04-30,20.5
2014-05-31,8.796875
2014-06-30,32.3984375
2014-07-31,9.796875
2014-08-31,39.796875
