,Rainfall
2000-01-31,18.1015625
2000-02-29,29.5
2000-03-31,131.703125
2000-04-30,139.1015625
2000-05-31,62.3984375
2000-06-30,11.703125
2000-07-31,19.0
2000-08-31,18.203125
2000-09-30,2.3984375
2000-10-31,67.1015625
2000-11-30,124.6015625
2000-12-31,23.5
2001-01-31,17.3984375
2001-02-28,18.703125
2001-03-31,56.703125
2001-04-30,23.5
2001-05-31,16.6015625
2001-06-30,54.8984375
2001-07-31,50.8984375
2001-08-31,6.1015625
2001-09-30,14.796875
2001-10-31,29.796875
2001-11-30,23.0
2001-12-31,15.6015625
2002-01-31,20.203125
2002-02-28,113.8984375
2002-03-31,45.203125
2002-04-30,6.1015625
2002-05-31,8.703125
2002-06-30,6.3984375
2002-07-31,0.296875
2002-08-31,1.0
2002-09-30,33.3984375
2002-10-31,3.796875
2002-11-30,1.6015625
2002-12-31,7.296875
2003-01-31,32.1015625
2003-02-28,64.8984375
2003-03-31,11.296875
2003-04-30,81.1015625
2003-05-31,11.1015625
2003-06-30,41.796875
2003-07-31,26.5
2003-08-31,74.3984375
2003-09-30,4.5
2003-10-31,36.6015625
2003-11-30,22.796875
2003-12-31,31.5
2004-01-31,14.703125
2004-02-29,33.0
2004-03-31,18.0
2004-04-30,26.3984375
2004-05-31,41.796875
2004-06-30,36.5
2004-07-31,30.796875
2004-08-31,16.3984375
2004-09-30,15.8984375
2004-10-31,10.5
2004-11-30,32.8984375
2004-12-31,87.3984375
2005-01-31,28.0
2005-02-28,4.796875
2005-03-31,7.796875
2005-04-30,1.6015625
2005-05-31,4.3984375
2005-06-30,157.1015625
2005-07-31,15.0
2005-08-31,12.8984375
2005-09-30,55.296875
2005-10-31,73.0
2005-11-30,42.796875
2005-12-31,17.796875
2006-01-31,16.703125
2006-02-28,17.796875
2006-03-31,17.203125
2006-04-30,10.703125
2006-05-31,0.703125
2006-06-30,35.796875
2006-07-31,58.203125
2006-08-31,4.203125
2006-09-30,18.1015625
2006-10-31,0.6015625
2006-11-30,17.6015625
2006-12-31,24.5
2007-01-31,73.5
2007-02-28,33.796875
2007-03-31,46.0
2007-04-30,18.203125
2007-05-31,42.796875
2007-06-30,54.296875
2007-07-31,2.203125
2007-08-31,7.296875
2007-09-30,0.1015625
2007-10-31,9.0
2007-11-30,52.3984375
2007-12-31,246.203125
2008-01-31,63.703125
2008-02-29,105.6015625
2008-03-31,32.8984375
2008-04-30,0.203125
2008-05-31,8.203125
2008-06-30,64.796875
2008-07-31,15.703125
2008-08-31,34.0
2008-09-30,29.5
2008-10-31,52.5
2008-11-30,97.3984375
2008-12-31,72.3984375
2009-01-31,15.0
2009-02-28,89.0
2009-03-31,4.6015625
2009-04-30,62.1015625
2009-05-31,37.6015625
2009-06-30,84.0
2009-07-31,12.8984375
2009-08-31,1.703125
2009-09-30,25.203125
2009-10-31,45.0
2009-11-30,6.0
2009-12-31,120.0
2010-01-31,70.8984375
2010-02-28,127.6015625
2010-03-31,79.6015625
2010-04-30,35.1015625
2010-05-31,44.1015625
2010-06-30,27.203125
2010-07-31,65.0
2010-08-31,45.703125
2010-09-30,52.703125
2010-10-31,66.8984375
2010-11-30,165.796875
2010-12-31,202.1015625
2011-01-31,20.796875
2011-02-28,33.1015625
2011-03-31,45.296875
2011-04-30,24.8984375
2011-05-31,42.5
2011-06-30,4.1015625
2011-07-31,5.203125
2011-08-31,30.703125
2011-09-30,89.5
2011-10-31,56.296875
2011-11-30,85.0
2011-12-31,102.3984375
2012-01-31,81.203125
2012-02-29,74.796875
2012-03-31,120.8984375
2012-04-30,0.3984375
2012-05-31,31.203125
2012-06-30,23.296875
2012-07-31,43.6015625
2012-08-31,2.3984375
2012-09-30,21.3984375
2012-10-31,8.0
2012-11-30,33.6015625
2012-12-31,12.5
2013-01-31,12.0
2013-02-28,8.296875
2013-03-31,52.0
2013-04-30,0.0
2013-05-31,21.796875
2013-06-30,128.3984375
2013-07-31,22.5
2013-08-31,5.703125
