,Rainfall
2000-01-31,4.203125
2000-02-29,69.3984375
2000-03-31,3.0
2000-04-30,37.8984375
2000-05-31,14.296875
2000-06-30,13.796875
2000-07-31,29.296875
2000-08-31,33.296875
2000-09-30,39.296875
2000-10-31,35.1015625
2000-11-30,22.6015625
2000-12-31,19.5
2001-01-31,1.703125
2001-02-28,13.5
2001-03-31,8.796875
2001-04-30,8.203125
2001-05-31,12.796875
2001-06-30,37.296875
2001-07-31,24.703125
2001-08-31,15.0
2001-09-30,38.203125
2001-10-31,26.1015625
2001-11-30,1.3984375
2001-12-31,2.1015625
2002-01-31,1.203125
2002-02-28,8.1015625
2002-03-31,12.8984375
2002-04-30,10.3984375
2002-05-31,15.1015625
2002-06-30,16.796875
2002-07-31,5.796875
2002-08-31,10.0
2002-09-30,8.296875
2002-10-31,3.3984375
2002-11-30,17.8984375
2002-12-31,61.703125
2003-01-31,0.203125
2003-02-28,38.203125
2003-03-31,0.0
2003-04-30,0.3984375
2003-05-31,20.296875
2003-06-30,21.8984375
2003-07-31,12.6015625
2003-08-31,45.3984375
2003-09-30,5.1015625
2003-10-31,27.203125
2003-11-30,14.796875
2003-12-31,42.296875
2004-01-31,3.1015625
2004-02-29,1.296875
2004-03-31,0.8984375
2004-04-30,0.0
2004-05-31,7.3984375
2004-06-30,28.296875
2004-07-31,20.5
2004-08-31,23.0
2004-09-30,12.703125
2004-10-31,1.703125
2004-11-30,37.1015625
2004-12-31,21.5
2005-01-31,25.1015625
2005-02-28,4.8984375
2005-03-31,3.8984375
2005-04-30,1.703125
2005-05-31,1.8984375
2005-06-30,46.0
2005-07-31,34.703125
2005-08-31,21.8984375
2005-09-30,50.8984375
2005-10-31,62.6015625
2005-11-30,34.796875
2005-12-31,6.6015625
2006-01-31,7.203125
2006-02-28,1.0
2006-03-31,24.8984375
2006-04-30,18.5
2006-05-31,9.3984375
2006-06-30,10.0
2006-07-31,28.0
2006-08-31,7.203125
2006-09-30,11.703125
2006-10-31,0.0
2006-11-30,6.6015625
2006-12-31,5.3984375
2007-01-31,46.5
2007-02-28,8.8984375
2007-03-31,17.296875
2007-04-30,31.703125
2007-05-31,21.8984375
2007-06-30,1.296875
2007-07-31,21.6015625
2007-08-31,1.3984375
2007-09-30,2.1015625
2007-10-31,6.296875
2007-11-30,28.703125
2007-12-31,14.796875
2008-01-31,20.796875
2008-02-29,0.0
2008-03-31,2.296875
2008-04-30,7.3984375
2008-05-31,21.5
2008-06-30,14.796875
2008-07-31,14.703125
2008-08-31,33.0
2008-09-30,3.6015625
2008-10-31,1.8984375
2008-11-30,32.3984375
2008-12-31,40.1015625
2009-01-31,1.703125
2009-02-28,0.0
2009-03-31,14.703125
2009-04-30,22.3984375
2009-05-31,10.8984375
2009-06-30,40.703125
2009-07-31,11.296875
2009-08-31,9.796875
2009-09-30,28.203125
2009-10-31,8.703125
2009-11-30,52.8984375
2009-12-31,12.703125
2010-01-31,5.6015625
2010-02-28,23.6015625
2010-03-31,38.796875
2010-04-30,23.8984375
2010-05-31,46.1015625
2010-06-30,11.5
2010-07-31,25.0
2010-08-31,26.3984375
2010-09-30,42.703125
2010-10-31,79.703125
2010-11-30,96.296875
2010-12-31,90.5
2011-01-31,94.6015625
2011-02-28,143.703125
2011-03-31,66.703125
2011-04-30,10.203125
2011-05-31,17.296875
2011-06-30,8.703125
2011-07-31,12.796875
2011-08-31,23.3984375
2011-09-30,6.0
2011-10-31,25.0
2011-11-30,34.296875
2011-12-31,72.8984375
2012-01-31,18.5
2012-02-29,17.3984375
2012-03-31,51.6015625
2012-04-30,3.203125
2012-05-31,5.3984375
2012-06-30,10.3984375
2012-07-31,34.796875
2012-08-31,13.796875
2012-09-30,9.1015625
2012-10-31,5.296875
2012-11-30,5.703125
2012-12-31,6.1015625
2013-01-31,0.8984375
2013-02-28,16.703125
2013-03-31,8.1015625
2013-04-30,6.703125
2013-05-31,31.8984375
2013-06-30,45.203125
2013-07-31,14.3984375
2013-08-31,13.0
2013-09-30,16.6015625
2013-10-31,10.796875
2013-11-30,2.296875
2013-12-31,47.8984375
2014-01-31,0.796875
2014-02-28,70.296875
2014-03-31,8.703125
2014-04-30,64.296875
2014-05-31,23.1015625
2014-06-30,8.8984375
2014-07-31,12.296875
2014-08-31,17.796875
2014-09-30,17.703125
2014-10-31,0.6015625
2014-11-30,18.3984375
2014-12-31,13.0
2015-01-31,53.296875
2015-02-28,0.296875
2015-03-31,0.5
2015-04-30,72.6015625
2015-05-31,8.6015625
2015-06-30,24.296875
2015-07-31,10.796875
2015-08-31,10.0
2015-09-30,16.0
2015-10-31,6.3984375
2015-11-30,10.3984375
2015-12-31,0.703125
2016-01-31,46.1015625
2016-02-29,0.1015625
2016-03-31,2.703125
2016-04-30,2.6015625
2016-05-31,52.6015625
2016-06-30,22.1015625
2016-07-31,17.296875
2016-08-31,33.6015625
2016-09-30,74.8984375
2016-10-31,22.796875
2016-11-30,35.1015625
2016-12-31,8.0
2017-01-31,29.6015625
2017-02-28,6.1015625
2017-03-31,2.5
2017-04-30,42.6015625
2017-05-31,19.5
2017-06-30,3.203125
2017-07-31,5.203125
2017-08-31,31.296875
2017-09-30,2.703125
2017-10-31,31.203125
2017-11-30,43.703125
2017-12-31,58.6015625
2018-01-31,7.6015625
2018-02-28,1.703125
2018-03-31,1.1015625
2018-04-30,0.703125
2018-05-31,9.796875
2018-06-30,13.796875
2018-07-31,1.8984375
2018-08-31,8.8984375
2018-09-30,1.8984375
2018-10-31,14.1015625
2018-11-30,24.8984375
2018-12-31,38.0
2019-01-31,1.5
2019-02-28,3.5
2019-03-31,2.796875
2019-04-30,0.3984375
2019-05-31,22.796875
2019-06-30,11.796875
2019-07-31,8.3984375
2019-08-31,4.1015625
2019-09-30,7.703125
2019-10-31,0.203125
2019-11-30,8.203125
2019-12-31,3.296875
2020-01-31,6.203125
2020-02-29,12.5
2020-03-31,23.703125
2020-04-30,57.0
2020-05-31,5.6015625
2020-06-30,9.8984375
2020-07-31,4.1015625
2020-08-31,38.796875
2020-09-30,25.296875
2020-10-31,57.0
