Year,Month,Year_Month,Location,Longitude,Latitude,P_acc_3M,,,,,,,
2000,1,2000-01,Cobar,145.8383,-31.498,15.3046875,,,,,,,
2000,2,2000-02,Cobar,145.8383,-31.498,134.90625,,,,,,,
2000,3,2000-03,Cobar,145.8383,-31.498,194.40625,,,,,,,
2000,4,2000-04,Cobar,145.8383,-31.498,265.5078125,,,,,,,
2000,5,2000-05,Cobar,145.8383,-31.498,231.3046875,,,,,,,
2000,6,2000-06,Cobar,145.8383,-31.498,182.90625,,,,,,,
2000,7,2000-07,Cobar,145.8383,-31.498,125.5,,,,,,,
2000,8,2000-08,Cobar,145.8383,-31.498,72.796875,,,,,,,
2000,9,2000-09,Cobar,145.8383,-31.498,62.296875,,,,,,,
2000,10,2000-10,Cobar,145.8383,-31.498,98.5,,,,,,,
2000,11,2000-11,Cobar,145.8383,-31.498,202,,,,,,,
2000,12,2000-12,Cobar,145.8383,-31.498,207.5,,,,,,,
2001,1,2001-01,Cobar,145.8383,-31.498,157.3984375,,,,,,,
2001,2,2001-02,Cobar,145.8383,-31.498,100.8046875,,,,,,,
2001,3,2001-03,Cobar,145.8383,-31.498,137.6015625,,,,,,,
2001,4,2001-04,Cobar,145.8383,-31.498,133.6015625,,,,,,,
2001,5,2001-05,Cobar,145.8383,-31.498,81.1953125,,,,,,,
2001,6,2001-06,Cobar,145.8383,-31.498,99.8984375,,,,,,,
2001,7,2001-07,Cobar,145.8383,-31.498,119,,,,,,,
2001,8,2001-08,Cobar,145.8383,-31.498,93,,,,,,,
2001,9,2001-09,Cobar,145.8383,-31.498,33.8984375,,,,,,,
2001,10,2001-10,Cobar,145.8383,-31.498,43.6953125,,,,,,,
2001,11,2001-11,Cobar,145.8383,-31.498,58.1953125,,,,,,,
2001,12,2001-12,Cobar,145.8383,-31.498,70.390625,,,,,,,
2002,1,2002-01,Cobar,145.8383,-31.498,42.6953125,,,,,,,
2002,2,2002-02,Cobar,145.8383,-31.498,145.296875,,,,,,,
2002,3,2002-03,Cobar,145.8383,-31.498,128.8984375,,,,,,,
2002,4,2002-04,Cobar,145.8383,-31.498,151.09375,,,,,,,
2002,5,2002-05,Cobar,145.8383,-31.498,33.6953125,,,,,,,
2002,6,2002-06,Cobar,145.8383,-31.498,32.8984375,,,,,,,
2002,7,2002-07,Cobar,145.8383,-31.498,8.8984375,,,,,,,
2002,8,2002-08,Cobar,145.8383,-31.498,5.796875,,,,,,,
2002,9,2002-09,Cobar,145.8383,-31.498,37.3984375,,,,,,,
2002,10,2002-10,Cobar,145.8383,-31.498,37.1015625,,,,,,,
2002,11,2002-11,Cobar,145.8383,-31.498,35,,,,,,,
2002,12,2002-12,Cobar,145.8383,-31.498,9,,,,,,,
2003,1,2003-01,Cobar,145.8383,-31.498,15.296875,,,,,,,
2003,2,2003-02,Cobar,145.8383,-31.498,89.296875,,,,,,,
2003,3,2003-03,Cobar,145.8383,-31.498,86.59375,,,,,,,
2003,4,2003-04,Cobar,145.8383,-31.498,124.1953125,,,,,,,
2003,5,2003-05,Cobar,145.8383,-31.498,62.6953125,,,,,,,
2003,6,2003-06,Cobar,145.8383,-31.498,84.296875,,,,,,,
2003,7,2003-07,Cobar,145.8383,-31.498,69.796875,,,,,,,
2003,8,2003-08,Cobar,145.8383,-31.498,128.296875,,,,,,,
2003,9,2003-09,Cobar,145.8383,-31.498,104.3984375,,,,,,,
2003,10,2003-10,Cobar,145.8383,-31.498,125.6015625,,,,,,,
2003,11,2003-11,Cobar,145.8383,-31.498,63.90625,,,,,,,
2003,12,2003-12,Cobar,145.8383,-31.498,116.3046875,,,,,,,
2004,1,2004-01,Cobar,145.8383,-31.498,101.203125,,,,,,,
2004,2,2004-02,Cobar,145.8383,-31.498,104.3046875,,,,,,,
2004,3,2004-03,Cobar,145.8383,-31.498,49.40625,,,,,,,
2004,4,2004-04,Cobar,145.8383,-31.498,19.609375,,,,,,,
2004,5,2004-05,Cobar,145.8383,-31.498,49.3046875,,,,,,,
2004,6,2004-06,Cobar,145.8383,-31.498,91,,,,,,,
2004,7,2004-07,Cobar,145.8383,-31.498,108.5,,,,,,,
2004,8,2004-08,Cobar,145.8383,-31.498,83.1015625,,,,,,,
2004,9,2004-09,Cobar,145.8383,-31.498,52.1015625,,,,,,,
2004,10,2004-10,Cobar,145.8383,-31.498,64,,,,,,,
2004,11,2004-11,Cobar,145.8383,-31.498,60.296875,,,,,,,
2004,12,2004-12,Cobar,145.8383,-31.498,91.8984375,,,,,,,
2005,1,2005-01,Cobar,145.8383,-31.498,58.5,,,,,,,
2005,2,2005-02,Cobar,145.8383,-31.498,46.3046875,,,,,,,
2005,3,2005-03,Cobar,145.8383,-31.498,7.203125,,,,,,,
2005,4,2005-04,Cobar,145.8383,-31.498,6.203125,,,,,,,
2005,5,2005-05,Cobar,145.8383,-31.498,4.8046875,,,,,,,
